id,slug,name,bank,reward_currency,ro_type,ro
axis-airtel,null,Airtel Axis Bank Credit Card,Axis,points,string,"""[{\""type\"":\""Cashback\"",\""partner\"":null,\""value_per_point_inr\"":1}]"""
amex-smartearn,null,American Express SmartEarn,AmEx,points,array,[]
au-altura,null,AU Bank Altura Credit Card,AU,points,array,[]
au-vetta,null,AU Bank Vetta Credit Card,AU,points,array,[]
axis-neo,null,Axis Bank NEO Credit Card,Axis,points,string,"""[{\""type\"":\""Cashback\"",\""partner\"":null,\""value_per_point_inr\"":1}]"""
axis-reserve,null,Axis Bank Reserve Credit Card,Axis,points,string,"""[{\""type\"":\""Travel redemption\"",\""partner\"":\""Any airline or hotel\"",\""value_per_point_inr\"":1},{\""type\"":\""Transfer to partner hotels\"",\""partner\"":\""Marriott Bonvoy and others\"",\""value_per_point_inr\"":1.5}]"""
bajaj-rbl-supercard,null,Bajaj Finserv RBL Bank SuperCard,RBL,points,array,[]
bob-eterna,null,Bank of Baroda Eterna Credit Card,BOB,points,array,[]
bob-prime,null,Bank of Baroda Prime Credit Card,BOB,points,array,[]
idfc-club-vistara,null,Club Vistara IDFC FIRST Bank,IDFC,points,array,[]
sbi-club-vistara,null,Club Vistara SBI Card PRIME,SBI,points,string,"""[{\""type\"":\""Air India miles\"",\""partner\"":\""Air India\"",\""value_per_point_inr\"":0.5},{\""type\"":\""Travel redemption\"",\""partner\"":null,\""value_per_point_inr\"":0.4}]"""
federal-celesta,null,Federal Bank Celesta Credit Card,Federal,points,array,[]
federal-signet,null,Federal Bank Signet Credit Card,Federal,points,array,[]
hdfc-diners-clubmiles,null,HDFC Diners Club Miles,HDFC,points,string,"""[{\""type\"":\""Airline Miles Transfer\"",\""partner\"":\""Partner Airlines\"",\""value_per_point_inr\"":0.5},{\""type\"":\""Cashback\"",\""partner\"":null,\""value_per_point_inr\"":0.3}]"""
hdfc-indianoil,null,HDFC IndianOil Credit Card,HDFC,points,string,"""[{\""type\"":\""Cash back\"",\""partner\"":null,\""value_per_point_inr\"":0.5},{\""type\"":\""IndianOil Vouchers\"",\""partner\"":\""IndianOil\"",\""value_per_point_inr\"":1}]"""
hdfc-platinum-times,null,HDFC Platinum Times,HDFC,points,string,"""[{\""type\"":\""Airline Miles Transfer\"",\""partner\"":\""Multiple Airlines\"",\""value_per_point_inr\"":0.5},{\""type\"":\""Statement Credit\"",\""partner\"":null,\""value_per_point_inr\"":0.4}]"""
hsbc-cashback,null,HSBC Cashback Credit Card,HSBC,points,array,[]
hsbc-live-plus,null,HSBC Live+ Credit Card,HSBC,points,array,[]
hsbc-premier,null,HSBC Premier MasterCard,HSBC,points,array,[]
icici-expresspay,null,ICICI Bank Expressions Credit Card,ICICI,points,string,"""[{\""type\"":\""Cashback\"",\""partner\"":null,\""value_per_point_inr\"":1},{\""type\"":\""Shopping Vouchers\"",\""partner\"":\""Partner retailers\"",\""value_per_point_inr\"":0.5},{\""type\"":\""Air Miles\"",\""partner\"":\""Partner airlines\"",\""value_per_point_inr\"":0.75}]"""
icici-hpcl-super-saver,null,ICICI Bank HPCL Super Saver,ICICI,points,string,"""[{\""type\"":\""HPCL Fuel Vouchers\"",\""partner\"":\""HPCL\"",\""value_per_point_inr\"":0.5},{\""type\"":\""Statement Credit\"",\""partner\"":null,\""value_per_point_inr\"":0.5},{\""type\"":\""Partner Redemption\"",\""partner\"":\""Multiple Travel and Retail Partners\"",\""value_per_point_inr\"":0.5}]"""
idbi-steel,null,IDBI Bank Imperium Platinum,IDBI,points,array,[]
idfc-first-millennia,null,IDFC FIRST Bank Millennia,IDFC,points,array,[]
idfc-first-wow,null,IDFC FIRST Bank WOW Credit Card,IDFC,points,array,[]
axis-indianoil,null,Indian Oil Axis Bank Credit Card,Axis,points,string,"""[{\""type\"":\""Cashback\"",\""partner\"":null,\""value_per_point_inr\"":1},{\""type\"":\""Statement Credit\"",\""partner\"":null,\""value_per_point_inr\"":1}]"""
indusind-legend,null,IndusInd Bank Legend Credit Card,IndusInd,points,array,[]
indusind-nexxt,null,IndusInd Bank Nexxt Credit Card,IndusInd,points,array,[]
kotak-essentia-platinum,null,Kotak Essentia Platinum,Kotak,points,string,"""[{\""type\"":\""Cashback\"",\""partner\"":null,\""value_per_point_inr\"":1},{\""type\"":\""Travel redemption\"",\""partner\"":\""Partner airlines\"",\""value_per_point_inr\"":1.5}]"""
kotak-privy-league,null,Kotak Privy League Signature,Kotak,points,string,"""[{\""type\"":\""Transfer to travel partners\"",\""partner\"":\""Airlines and Hotels\"",\""value_per_point_inr\"":0.75},{\""type\"":\""Cashback\"",\""partner\"":null,\""value_per_point_inr\"":0.5}]"""
kotak-white,null,Kotak White Credit Card,Kotak,points,string,"""[{\""type\"":\""Statement Credit\"",\""partner\"":null,\""value_per_point_inr\"":0.5},{\""type\"":\""Rewards Catalog\"",\""partner\"":null,\""value_per_point_inr\"":0.5}]"""
icici-mmt-platinum,null,MakeMyTrip ICICI Bank Platinum,ICICI,points,string,"""[{\""type\"":\""MakeMyTrip vouchers\"",\""partner\"":\""MakeMyTrip\"",\""value_per_point_inr\"":1},{\""type\"":\""Cashback\"",\""partner\"":null,\""value_per_point_inr\"":0.5}]"""
icici-mmt-signature,null,MakeMyTrip ICICI Bank Signature,ICICI,points,string,"""[{\""type\"":\""Travel redemption\"",\""partner\"":\""MakeMyTrip\"",\""value_per_point_inr\"":0.5},{\""type\"":\""MakeMyTrip cash credits\"",\""partner\"":\""MakeMyTrip\"",\""value_per_point_inr\"":0.4}]"""
onecard,null,OneCard Credit Card,OneCard,points,array,[]
rbl-fun-plus,null,RBL Bank Fun Plus,RBL,points,array,[]
rbl-icon,null,RBL Bank ICON Credit Card,RBL,points,array,[]
rbl-dubai-first,null,RBL Bank World Safari,RBL,points,array,[]
sbi-aurum,null,SBI Card AURUM,SBI,points,string,"""[{\""type\"":\""Cashback\"",\""partner\"":null,\""value_per_point_inr\"":0.5},{\""type\"":\""Travel redemption\"",\""partner\"":\""Various airlines and hotels\"",\""value_per_point_inr\"":1}]"""
sbi-prime,null,SBI Card PRIME,SBI,points,string,"""[{\""type\"":\""Encash\"",\""partner\"":null,\""value_per_point_inr\"":0.25},{\""type\"":\""Travel Redemption\"",\""partner\"":\""Partner Airlines and Hotels\"",\""value_per_point_inr\"":0.5}]"""
sbi-pulse,null,SBI Card PULSE,SBI,points,string,"""[{\""type\"":\""Cashback\"",\""partner\"":null,\""value_per_point_inr\"":0.5},{\""type\"":\""Merchandise\"",\""partner\"":\""SBI Partners\"",\""value_per_point_inr\"":0.5}]"""
sbi-simplysave,null,SBI SimplySAVE,SBI,points,string,"""[{\""type\"":\""Cashback\"",\""partner\"":null,\""value_per_point_inr\"":1}]"""
sc-manhattan,null,Standard Chartered Manhattan Platinum,SC,points,array,[]
sc-super-value-titanium,null,Standard Chartered Super Value Titanium,SC,points,array,[]
yes-ace,null,YES Bank ACE Credit Card,Yes,points,array,[]
yes-prosperity-cashback,null,YES Prosperity Cashback Plus,Yes,points,array,[]
62ae99f5-0f0b-455f-b5fb-d89aa207361b,1mg-icici,1mg ICICI Bank Credit Card,ICICI Bank,points,array,"[""statement credit""]"
fceaf2c5-3900-4c03-bf80-d243105f9ca7,air-india-axis-signature,Air India Axis Bank Signature Credit Card,Axis Bank,points,array,"[""Air India flights""]"
4236a209-56a0-4ef9-8864-aa58d9d82e9e,air-india-sbi-signature,Air India SBI Signature Credit Card,SBI Card,points,array,"[""Air India flights""]"
208e9e72-3dac-4c53-bacc-c72f3e431a14,amazon-pay-icici,Amazon Pay ICICI Credit Card,ICICI Bank,points,array,"[""Amazon Pay balance"", ""statement credit""]"
